code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
Eu421,,ANXIETY,,,Long-term condition
Eu422,,ANXIETY,,,Long-term condition
Eu42y,,ANXIETY,,,Long-term condition
Eu42z,,ANXIETY,,,Long-term condition
Eu43.,,ANXIETY,,,Long-term condition
Eu430,,ANXIETY,,,Long-term condition
Eu431,,ANXIETY,,,Long-term condition
Eu432,,ANXIETY,,,Long-term condition
Eu43y,,ANXIETY,,,Long-term condition
Eu43z,,ANXIETY,,,Long-term condition
Eu44.,,ANXIETY,,,Long-term condition
Eu440,,ANXIETY,,,Long-term condition
Eu441,,ANXIETY,,,Long-term condition
Eu442,,ANXIETY,,,Long-term condition
Eu443,,ANXIETY,,,Long-term condition
Eu444,,ANXIETY,,,Long-term condition
Eu445,,ANXIETY,,,Long-term condition
Eu446,,ANXIETY,,,Long-term condition
Eu447,,ANXIETY,,,Long-term condition
Eu44y,,ANXIETY,,,Long-term condition
Eu44z,,ANXIETY,,,Long-term condition
Eu45.,,ANXIETY,,,Long-term condition
Eu450,,ANXIETY,,,Long-term condition
Eu451,,ANXIETY,,,Long-term condition
Eu452,,ANXIETY,,,Long-term condition
Eu453,,ANXIETY,,,Long-term condition
Eu454,,ANXIETY,,,Long-term condition
Eu455,,ANXIETY,,,Long-term condition
Eu45y,,ANXIETY,,,Long-term condition
Eu45z,,ANXIETY,,,Long-term condition
Eu46.,,ANXIETY,,,Long-term condition
Eu460,,ANXIETY,,,Long-term condition
Eu461,,ANXIETY,,,Long-term condition
Eu46y,,ANXIETY,,,Long-term condition
Eu46z,,ANXIETY,,,Long-term condition
Eu515,,ANXIETY,,[X]Dream anxiety disorder,Long-term condition
Eu606,,ANXIETY,,[X]Anxious [avoidant] personality disorder,Long-term condition
Eu930,,ANXIETY,,,Long-term condition
Eu931,,ANXIETY,,,Long-term condition
Eu932,,ANXIETY,,,Long-term condition
Eu93y,,ANXIETY,,[X]Childhood overanxious disorder,Long-term condition
M240E,,ANXIETY,,,Long-term condition
